time,frequency
6.92242,28971.5
6.92292,28923.4
6.92343,28840.4
6.92393,28690.7
6.92443,28731.9
6.92493,28727.9
6.92543,28718.7
6.92593,28613.9
6.92644,28498.2
6.92694,28511.1
6.92744,28538.1
6.92794,28436.6
6.92844,28385.3
6.92894,28335.6
6.92945,28286.5
6.92995,28274.3
6.9304500000000004,28210.2
6.93095,28155.6
6.93145,28079.8
6.93196,28113.8
6.93246,28099.6
6.93296,28072
6.93346,28032.1
6.93396,28060.2
6.93446,28077.6
6.93497,27959.5
6.93547,27931.9
6.93597,27981.2
6.93647,28170.1
6.93697,28076.8
6.93747,27973.1
6.93798,28081.3
6.93848,28105.3
6.93898,27906.8
6.93948,27971.6
6.93998,27975.6
6.94048,27968.8
6.94099,27883.4
6.94149,27995.2
6.94199,27880.4
6.94249,27911.4
6.94299,18841.2
6.9435,19002.9
6.944,18938.9
6.9445,18937
6.945,18949.3
6.9455,18811.6
6.946,18919.4
6.94651,18083.2
6.94701,29744.9
6.94751,29839.5
6.94801,29723.5
6.94851,29854.1
6.94901,29952.9
6.94952,30024.5
6.95002,30088.9
6.95052,30085.6
6.95102,30194.8
6.95152,30270.6
6.95203,30099.5
6.95253,30267.6
6.95303,30171.7
