time,frequency
6.23752,28360.1
6.23802,28298.5
6.23852,28259.5
6.23902,28200.8
6.23952,28012.6
6.24003,28029.3
6.24053,27973.6
6.24103,27848.2
6.24153,27769.2
6.24203,27801.6
6.24254,27795.7
6.24304,27687.8
6.24354,27617.5
6.24404,27772
6.24454,27706.3
6.24504,27680
6.24555,27603.3
6.24605,27411.4
6.24655,27460.6
6.24705,27599.3
6.24755,27723.5
6.24805,27918.6
6.24856,27798.9
6.24906,27906.8
6.24956,27904.4
6.25006,27869.3
6.25056,27928.7
6.25106,27783.2
6.25157,27752
6.25207,27758.2
6.25257,27889.3
6.25307,27840.4
6.25357,27848.7
6.25408,28069.9
6.25458,18047.5
6.25508,0
6.25558,0
6.25608,0
6.25658,0
6.25709,0
6.25759,0
6.25809,0
6.25859,17970.8
6.25909,18009.1
6.25959,17971.1
6.2601,17950.4
6.2606,17951.5
6.2611,17945.2
6.2616,18011.8
6.2621,18022.6
6.26261,18136.6
6.26311,18108.3
6.26261,18136.6
6.26311,18108.3
6.26361,0
6.26411,0
6.26461,0
6.26511,0
6.26562,0
6.26612,0
6.26662,0
6.26712,0
6.26762,0
6.26812,0
6.26863,0
6.26913,0
6.26963,0
6.27013,0
6.27063,0
6.27114,0
6.27164,0
6.27214,11796.6
6.27264,11975
6.27314,12196.9
6.27364,12334.9
6.27415,12575.4
6.27465,12962.6
6.27515,13213.1
6.27565,13253.2
6.27615,13394.9
6.27665,13270.2
6.27716,13295.4
6.27766,13296.2
6.27816,13406.3
6.27866,13433.8
6.27916,13471.4
6.27967,13593.4
6.28017,13552.5
6.28067,13575.9
6.28117,13590.1
6.28167,13466.8
6.28217,13537.1
6.28268,13555.2
6.28318,13546.8
6.28368,13537.8
6.28418,13565.9
6.28468,13685.2
6.28518,13753.4
6.28569,13785.7
6.28619,13773.4
6.28669,13840.1
6.28719,13845.5
6.28769,13930.7
6.2882,0
6.2887,0
6.2892,0
6.2897,0
6.2902,0
6.2907,0
6.29121,0
6.29171,0
6.29221,0
6.29271,0
6.29321,0
6.29371,0
6.28569,13785.7
6.28619,13773.4
6.28669,13840.1
6.28719,13845.5
6.28769,13930.7
6.2882,0
6.2887,0
6.2892,0
6.2897,0
6.2902,0
6.2907,0
6.29121,0
6.29171,0
6.29221,0
6.29271,0
6.29321,0
6.29371,0
6.29422,0
6.29472,0
6.29522,37954.1
6.29572,38634.7
6.29622,37803.3
6.29673,37577.2
6.29723,37497.8
6.29773,37343.4
6.29823,37463.7
6.29873,37828.3
6.29923,37707.3
6.29974,37641.1
6.30024,37752
6.30074,37643.4
6.30124,37592.1
6.30174,36850
6.30224,27259.2
6.30275,26719.4
6.30325,26480.9
6.30375,25582.4
6.30425,24731
6.30475,23871.3
6.30526,23266.4
6.30576,22941.1
6.30626,22813.6
6.30676,22560.9
6.30726,22249.2
6.30776,22185.8
6.30827,22056.7
6.30877,0
6.30927,0
6.30977,0
6.31027,0
6.31077,0
6.31128,0
6.31178,0
6.31228,0
6.31278,0
6.31328,0
6.31379,0
6.31429,0
6.31479,15989.6
6.31529,15831.3
6.31579,15707.9
6.31629,15552.4
6.3168,15306.2
6.3173,15144.2
6.3178,14977.5
6.3183,14934.5
6.3188,14672.4
6.3193,14565.3
6.31981,14458.9
6.32031,14377.7
6.32081,14369.4
6.32131,14284.4
6.32181,14258.8
6.32232,14066.7
6.32282,14023.9
6.32332,13870.8
6.32382,13770.5
6.32432,13779.6
6.32482,13583.5
6.32533,13555.4
6.32583,13480.5
6.32633,13410.8
6.32683,13411.9
6.32733,13245.2
6.32783,13253.4
6.32834,13018
6.32884,13034.1
6.32934,13049
6.32984,12969
6.33034,12960.6
6.33085,12945.3
6.33135,12953.5
6.33185,12828
6.33235,12625.7
6.33285,12607.1
6.33335,12383
6.33386,12256.7
6.33436,12266.2
6.33486,12182.9
6.33536,12147.1
6.33586,12167.8
6.33636,12109.7
6.33687,12137.8
6.33737,12042.9
6.33787,11888.2
6.33837,11539.3
6.33887,11205.5
6.33937,10753.9
6.33988,10798.4
6.34038,30183.3
6.34088,30050.2
6.34138,29939.2
6.34188,29797.3
6.34239,29671.4
6.34289,29609.7
6.34339,29516.3
6.34389,29579.3
6.34439,29482.1
6.34489,29511.6
6.3454,29417.6
6.3459,29130.6
6.3464,29124.2
6.3469,28851.8
6.3474,28805.4
6.3479,28636.2
6.34841,28630.2
6.34891,28442
6.34941,28528.6
6.34991,28473.8
6.35041,28393.4
6.35092,28341.5
6.35142,28395.2
6.35192,28211.8
6.35242,28229.6
6.35292,28071.7
6.35342,27876.9
6.35393,27865.5
6.35443,27701.5
6.35493,27910.1
6.35543,27763.3
6.35593,27868.8
6.35643,27938.6
6.35694,27727.4
6.35744,27712.1
6.35794,27544.3
6.35844,27824.4
6.35894,27852.9
6.35945,27963.3
6.35995,27904.2
6.36045,27862.5
6.36095,27940.1
6.36145,27909.4
6.36195,27885.4
6.36246,27764.9
6.36296,18653.5
6.36346,18534.2
6.36396,18516.8
6.36446,18599.4
6.36496,18897.3
6.36547,18944.8
6.36597,19010.2
6.36647,19104.3
6.36697,19132.9
6.36747,0
6.36798,0
6.36848,0
6.36898,0
6.36948,0
6.36998,0
6.37048,0
6.37099,0
6.37149,0
6.37199,0
6.37249,0
6.37299,0
6.37349,0
6.374,0
6.375,0
6.3755,0
6.376,0
6.37651,0
6.37701,0
6.37751,0
6.37801,0
6.37851,0
6.37901,0
6.37952,0
6.38002,0
6.38052,0
6.38102,0
6.38152,0
6.38202,0
6.38253,0
6.38303,0
6.38353,0
6.38403,0
6.38453,0
6.38504,0
6.38554,13684.7
6.38604,13791.3
6.38654,13996.5
6.38704,13864.8
6.38754,14016.8
6.38805,13746
6.38855,13784.6
6.38905,13832.3
6.38955,13761.7
6.39005,14038.2
6.39055,14268.3
6.39106,13869.9
6.39156,13957.3
6.39206,14030.7
6.39256,14076.5
6.39306,14116.3
6.39357,14053.9
6.39407,14191
6.39457,13858.6
6.39507,0
6.39557,0
6.39607,0
6.39658,0
6.39708,0
6.39758,0
6.39808,0
6.39858,0
6.39908,0
6.39959,0
6.40009,0
6.39808,0
6.39858,0
6.39908,0
6.39959,0
6.40009,0
6.40059,0
6.40109,0
6.40159,0
6.4021,0
6.4026,0
6.4031,0
6.4036,0
6.4041,0
6.4046,0
6.40511,0
6.40561,0
6.40611,0
6.40661,0
6.40711,0
6.40761,0
6.40812,0
6.40862,0
6.40912,0
6.40962,0
6.41012,0
6.41063,0
6.41113,0
6.41163,0
6.41213,33905.7
6.41263,32810.6
6.41313,31966.6
6.41364,31002.2
6.41414,29704
6.41464,28349.1
6.41514,27529
6.41564,26466.5
6.41614,25481.3
6.41665,24873.7
6.41715,24062.9
6.41765,23062.4
6.41815,22846.4
6.41865,22581.3
6.41915,22362.6
6.41966,22166.4
6.42016,22200.9
6.42066,22158.2
6.42116,20720.7
6.42166,20288.5
6.42217,19850.1
6.42267,19576.2
6.42317,19350.7
6.42367,19056.1
6.42417,18704.5
6.42467,18575.5
6.42518,18360
6.42568,18228.1
6.42618,18138.8
6.42668,17790.6
6.42718,17541.4
6.42768,17944
6.42819,15890.8
6.42869,15844.3
6.42919,15625.5
6.42969,15395.5
6.43019,15139
6.4307,15005.9
6.4312,14921.3
6.4317,14903.5
6.4322,14660.5
6.4327,14448.5
6.4332,14356.6
6.43371,14294
6.43421,14250.9
6.43471,14191.9
6.43521,13948.7
6.43571,13810.9
6.43621,13766.9
6.43672,13648.8
6.43722,13565.5
6.43772,13476.8
6.43822,13438.8
6.43872,13341.8
6.43923,13158
6.43973,13155.9
6.44023,13105.8
6.44073,12927
6.44123,12892.2
6.44173,12929.5
6.44224,12878.1
6.44274,12836.2
6.44324,12835.3
6.44374,12694.2
6.44424,12327
6.44474,12310
6.44525,12230.6
6.44575,12313.5
6.44625,12222
6.44675,12122.6
6.44725,12158.4
6.44776,12133.6
6.44826,12043.5
6.44876,12124
6.44926,11831.8
6.44976,11706.8
6.45026,11523.6
6.45077,11532.5
6.45127,11318.4
6.45177,11187.8
6.45227,11377
6.45277,11478.5
6.45327,30027.1
6.45378,29911.1
6.45428,29780.5
6.45478,29687.8
6.45528,29596.4
6.45578,29552.8
6.45629,29527.3
6.45679,29519.3
6.45729,29422.8
6.45779,29334.8
6.45829,29281.4
6.45879,29144.9
6.4593,29057.4
6.4598,28869.6
6.4603,28868.8
6.4608,28720.4
6.4613,28685.3
6.4618,28636.6
